bron_rij,Ad Name,Product,Awareness Level,Angle Type,Marketing Angle (origineel),Desires (origineel),Format,Media Type,Hook (short),Channel,Audience,Persona,Date Live,Budget (€),Impressions,Hook Rate (%),Hold Rate (%),CTR (%),CPM (€),CPC (€),Conversions,CVR (%),CPA (€),AOV (€),ROAS,Break-even ROAS,Target ROAS,Score (1-10),Status,Next Step,Notes,Creatives Link
511,180-2,Groom Guard PRO,1. Unaware,Storytelling / Narrative,"Voor mannen die hun intieme verzorging hebben opgegeven omdat elke eerdere poging eindigde in sneetjes, irritatie of frustratie. Het probleem was nooit jij, maar het verkeerde gereedschap.",Eindelijk een manier vinden om jezelf comfortabel en zonder pijn te verzorgen.,🎬 Studio / Polished Brand Video,🎬 Video,Ik was helemaal gestopt met het verzorgen van mijn intieme zone... totdat ik dit ontdekte.,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1hxgPORhctGx5mtq1nXwGT1is-ZC5M16G?usp=drive_link
512,180-3,Groom Guard PRO,1. Unaware,Storytelling / Narrative,"Voor mannen die hun intieme verzorging hebben opgegeven omdat elke eerdere poging eindigde in sneetjes, irritatie of frustratie. Het probleem was nooit jij, maar het verkeerde gereedschap.",Eindelijk een manier vinden om jezelf comfortabel en zonder pijn te verzorgen.,🎬 Studio / Polished Brand Video,🎬 Video,Dit is waarom ik al jaren niet meer mijn intieme verzorging doe.,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1hxgPORhctGx5mtq1nXwGT1is-ZC5M16G?usp=drive_link
513,181-1,Flex Guard,2. Problem Aware,Social Proof / Reviews,"Je investeert uren in je lichaam, maar één vergeten zone verpest het totaalplaatje.",Maximaal aantrekkelijk en verzorgd overkomen wanneer de kleding uitgaat.,🎬 Studio / Polished Brand Video,🎬 Video,"“Manner, door je schaamhaar lijkt het kleiner daar”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1tqpCHnU133k04DrIXqhekHo9rUelEE5b?usp=drive_link
514,181-2,Flex Guard,2. Problem Aware,Social Proof / Reviews,"Je investeert uren in je lichaam, maar één vergeten zone verpest het totaalplaatje.",Maximaal aantrekkelijk en verzorgd overkomen wanneer de kleding uitgaat.,🎬 Studio / Polished Brand Video,🎬 Video,"“Je gaat vijf dagen p er week naar de sportschool, maar dit sla je over.”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1tqpCHnU133k04DrIXqhekHo9rUelEE5b?usp=drive_link
515,181-3,Flex Guard,2. Problem Aware,Social Proof / Reviews,"Je investeert uren in je lichaam, maar één vergeten zone verpest het totaalplaatje.",Maximaal aantrekkelijk en verzorgd overkomen wanneer de kleding uitgaat.,🎬 Studio / Polished Brand Video,🎬 Video,“Ik heb zes maanden getraind en er was één ding dat mijn vooruitgang volledig in de weg stond.”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1tqpCHnU133k04DrIXqhekHo9rUelEE5b?usp=drive_link
516,182-1,Groom Guard PRO,1. Unaware,Storytelling / Narrative,"""Meer aantrekkingskracht zonder risico""",Zelfverzekerd voelen in intieme situaties.,🎬 Studio / Polished Brand Video,🎬 Video,"“Niemand heeft je dit verteld, maar als je daar beneden veel haar hebt, lijkt het veel kleiner.”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1eJxhzXH8qbFttV49v5Bc55rLsx_kr0rl?usp=sharing
517,182-2,Groom Guard PRO,1. Unaware,Storytelling / Narrative,"""Meer aantrekkingskracht zonder risico""",Zelfverzekerd voelen in intieme situaties.,🎬 Studio / Polished Brand Video,🎬 Video,"“Als je je daar beneden nog nooit hebt geschoren, is dit  het teken.”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1eJxhzXH8qbFttV49v5Bc55rLsx_kr0rl?usp=sharing
518,182-3,Groom Guard PRO,1. Unaware,Storytelling / Narrative,"""Meer aantrekkingskracht zonder risico""",Zelfverzekerd voelen in intieme situaties.,🎬 Studio / Polished Brand Video,🎬 Video,“Mannen praten hier niet over. Dus doe ik het maar voor ze”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1eJxhzXH8qbFttV49v5Bc55rLsx_kr0rl?usp=sharing
519,183-1,Groom Guard PRO,2. Problem Aware,Problem-Solution,"Je doet alles om optimaal te presteren, dus waarom zou je dit ene onderdeel van je verzorging blijven negeren?","Een verzorgde, atletische uitstraling behouden zonder extra tijd of moeite.",🎬 Studio / Polished Brand Video,🎬 Video,"“Jongens, niemand in de sportschool zal jullie dit vertellen.”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1YcQ1l_57eu9aVB8ddmk21UXcP_5yc9g9?usp=drive_link
520,183-2,Groom Guard PRO,2. Problem Aware,Problem-Solution,"Je doet alles om optimaal te presteren, dus waarom zou je dit ene onderdeel van je verzorging blijven negeren?","Een verzorgde, atletische uitstraling behouden zonder extra tijd of moeite.",🎬 Studio / Polished Brand Video,🎬 Video,"“Je scheert je borst, maar daar beneden laat je…. ongeschoren?”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1YcQ1l_57eu9aVB8ddmk21UXcP_5yc9g9?usp=drive_link
521,183-3,Groom Guard PRO,2. Problem Aware,Problem-Solution,"Je doet alles om optimaal te presteren, dus waarom zou je dit ene onderdeel van je verzorging blijven negeren?","Een verzorgde, atletische uitstraling behouden zonder extra tijd of moeite.",🎬 Studio / Polished Brand Video,🎬 Video,“Schaamhaar en topprestaties gaan niet samen.,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1YcQ1l_57eu9aVB8ddmk21UXcP_5yc9g9?usp=drive_link
522,184-1,Groom Guard PRO,2. Problem Aware,Problem-Solution,"Voor mannen met een gevoelige huid die er verzorgd uit willen zien zonder irritatie, ingegroeide haartjes of pijnlijke scheerervaringen.","Een gladde, verzorgde uitstraling zonder huidirritatie.",🎬 Studio / Polished Brand Video,🎬 Video,"""Wil je weten waarom vrouwen zo dol zijn op de Groom Guard?”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1FJptdmrgvg0F2tEPmxdVRJxekce-GjF2?usp=drive_link
523,184-2,Groom Guard PRO,2. Problem Aware,Problem-Solution,"Voor mannen met een gevoelige huid die er verzorgd uit willen zien zonder irritatie, ingegroeide haartjes of pijnlijke scheerervaringen.","Een gladde, verzorgde uitstraling zonder huidirritatie.",🎬 Studio / Polished Brand Video,🎬 Video,“Vroeger kon mijn huid geen enkel scheermes toe vertrouwen. Toen probeerde ik dit.”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1FJptdmrgvg0F2tEPmxdVRJxekce-GjF2?usp=drive_link
524,184-3,Groom Guard PRO,2. Problem Aware,Problem-Solution,"Voor mannen met een gevoelige huid die er verzorgd uit willen zien zonder irritatie, ingegroeide haartjes of pijnlijke scheerervaringen.","Een gladde, verzorgde uitstraling zonder huidirritatie.",🎬 Studio / Polished Brand Video,🎬 Video,"“Als je na het scheren altijd last hebt van irritatie, dan moet je dit eens horen.”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1FJptdmrgvg0F2tEPmxdVRJxekce-GjF2?usp=drive_link
525,185-1,Groom Guard PRO,2. Problem Aware,Problem-Solution,Stop met kiezen tussen verzorgd zijn en een geïrriteerde huid. Krijg beide: een verzorgde look én meer zelfvertrouwen.,"Zelfverzekerd voelen in de slaapkamer zonder irritatie, bultjes of schaamte over je uiterlijk.",🎬 Studio / Polished Brand Video,🎬 Video,"""Raakt jouw huid ook helemaal van slag telkens als je je daar beneden probeert te scheren?”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1J24DeOMdyfVb2cYJ5l2vb802GYvl0fwu?usp=drive_link
526,185-2,Groom Guard PRO,2. Problem Aware,Problem-Solution,Stop met kiezen tussen verzorgd zijn en een geïrriteerde huid. Krijg beide: een verzorgde look én meer zelfvertrouwen.,"Zelfverzekerd voelen in de slaapkamer zonder irritatie, bultjes of schaamte over je uiterlijk.",🎬 Studio / Polished Brand Video,🎬 Video,“Ik heb mezelf lang niet geschoren vanwege irritatie na het scheren.,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1J24DeOMdyfVb2cYJ5l2vb802GYvl0fwu?usp=drive_link
527,185-3,Groom Guard PRO,2. Problem Aware,Problem-Solution,Stop met kiezen tussen verzorgd zijn en een geïrriteerde huid. Krijg beide: een verzorgde look én meer zelfvertrouwen.,"Zelfverzekerd voelen in de slaapkamer zonder irritatie, bultjes of schaamte over je uiterlijk.",🎬 Studio / Polished Brand Video,🎬 Video,“Een gevoelige huid en mannelijke verzorging gaan niet samen. Tot nu toe.”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1J24DeOMdyfVb2cYJ5l2vb802GYvl0fwu?usp=drive_link
528,186-1,Groom Guard PRO,3. Solution Aware,Benefits-Driven,"Stop met ingewikkeld doen. Gebruik gewoon het juiste hulpmiddel voor je schaamhaar en voorkom sneetjes, irritatie en gedoe.",Je schaamstreek veilig en moeiteloos verzorgen zonder angst om jezelf te snijden.,🎬 Studio / Polished Brand Video,🎬 Video,"“Als het daar beneden een beetje rommelig is, dan heb je dit nodig.”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1uxS6ZeMfJ5U38uOoc7rqXw7KgmQIKvHj?usp=drive_link
529,186-2,Groom Guard PRO,3. Solution Aware,Benefits-Driven,"Stop met ingewikkeld doen. Gebruik gewoon het juiste hulpmiddel voor je schaamhaar en voorkom sneetjes, irritatie en gedoe.",Je schaamstreek veilig en moeiteloos verzorgen zonder angst om jezelf te snijden.,🎬 Studio / Polished Brand Video,🎬 Video,“Deze trimmer is voor maar één ding gemaakt: je schaamhaar.”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1uxS6ZeMfJ5U38uOoc7rqXw7KgmQIKvHj?usp=drive_link
530,186-3,Groom Guard PRO,3. Solution Aware,Benefits-Driven,"Stop met ingewikkeld doen. Gebruik gewoon het juiste hulpmiddel voor je schaamhaar en voorkom sneetjes, irritatie en gedoe.",Je schaamstreek veilig en moeiteloos verzorgen zonder angst om jezelf te snijden.,🎬 Studio / Polished Brand Video,🎬 Video,“Gebruik je nog steeds een scheermesje voor je ballen? Stop daar mee.”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1uxS6ZeMfJ5U38uOoc7rqXw7KgmQIKvHj?usp=drive_link
531,187-1,Groom Guard PRO,3. Solution Aware,Curiosity / Intrigue,"Beantwoord alle twijfels in één keer: veiliger dan een scheermes, minder irritatie dan een standaard trimmer en speciaal gemaakt voor gevoelige zones.",Een veilige en zorgeloze manier vinden om intieme zones te verzorgen zonder sneetjes of irritatie.,🎬 Studio / Polished Brand Video,🎬 Video,“Trimt dit echt zonder dat je je snijdt?”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1AaLKnJ0r21uL-U1DYnjmuLQxfpudeoIM?usp=drive_link
532,187-2,Groom Guard PRO,3. Solution Aware,Curiosity / Intrigue,"Beantwoord alle twijfels in één keer: veiliger dan een scheermes, minder irritatie dan een standaard trimmer en speciaal gemaakt voor gevoelige zones.",Een veilige en zorgeloze manier vinden om intieme zones te verzorgen zonder sneetjes of irritatie.,🎬 Studio / Polished Brand Video,🎬 Video,"""Trimt het echt beter dan een scheermes?”",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1AaLKnJ0r21uL-U1DYnjmuLQxfpudeoIM?usp=drive_link
533,187-3,Groom Guard PRO,3. Solution Aware,Curiosity / Intrigue,"Beantwoord alle twijfels in één keer: veiliger dan een scheermes, minder irritatie dan een standaard trimmer en speciaal gemaakt voor gevoelige zones.",Een veilige en zorgeloze manier vinden om intieme zones te verzorgen zonder sneetjes of irritatie.,🎬 Studio / Polished Brand Video,🎬 Video,“Mijn vriendin heeft dit scheerapparaat voor me gekocht en nu wil ze niet dat ik iets anders gebruik.”,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1AaLKnJ0r21uL-U1DYnjmuLQxfpudeoIM?usp=drive_link
534,188-1,Blade Baron,3. Solution Aware,Authority / Expert,"Dit scheerapparaat is zó goed dat je er geobsedeerd door raakt. Meer gemak, betere resultaten en een gladde huid zonder irritatie.","Een moeiteloos gladde scheerbeurt zonder irritatie, gedoe of tijdverlies.",🎬 Studio / Polished Brand Video,🎬 Video,“Ik heb dit scheerapparaat gekocht omdat ik bang was voor een scheermesjes. Nu heb ik er spijt van.”,Meta,NL & BE,Jason,,,,,,,,,,,,,0.0,2.15,3.07,,To Test,,,https://drive.google.com/drive/folders/1bp1o1V-ReL3mwlt7k-UFmQkPMabzoyNw?usp=drive_link
535,188-2,Blade Baron,3. Solution Aware,Authority / Expert,"Dit scheerapparaat is zó goed dat je er geobsedeerd door raakt. Meer gemak, betere resultaten en een gladde huid zonder irritatie.","Een moeiteloos gladde scheerbeurt zonder irritatie, gedoe of tijdverlies.",🎬 Studio / Polished Brand Video,🎬 Video,“Drie redenen waarom ik spijt heb dat ik de Blade Baron heb gekocht.”,Meta,NL & BE,Jason,,,,,,,,,,,,,0.0,2.15,3.07,,To Test,,,https://drive.google.com/drive/folders/1bp1o1V-ReL3mwlt7k-UFmQkPMabzoyNw?usp=drive_link
536,188-3,Blade Baron,3. Solution Aware,Authority / Expert,"Dit scheerapparaat is zó goed dat je er geobsedeerd door raakt. Meer gemak, betere resultaten en een gladde huid zonder irritatie.","Een moeiteloos gladde scheerbeurt zonder irritatie, gedoe of tijdverlies.",🎬 Studio / Polished Brand Video,🎬 Video,"“Als je op zoek bent naar een scheerapparaat dat je ook echt gaat gebruiken, koop dit dan niet.”",Meta,NL & BE,Jason,,,,,,,,,,,,,0.0,2.15,3.07,,To Test,,,https://drive.google.com/drive/folders/1bp1o1V-ReL3mwlt7k-UFmQkPMabzoyNw?usp=drive_link
537,189-1,Groom Guard PRO,5. Most Aware,Bundle Offer,"Stop met marketingclaims geloven. Kijk naar hoe het product daadwerkelijk ontworpen is. De oplossing zit niet in de verpakking, maar in de technologie achter de keramische mesjes.",Een trimmer vinden die eindelijk doet wat alle andere beloofden maar niet waarmaakten.,🎬 Studio / Polished Brand Video,🎬 Video,Elke trimmer beweert dat hij ‘huidvriendelijk’ is. De meeste liegen.,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1kZuA9nsFik5VMwai-3Ptpesr_gCu1BkR?usp=drive_link
538,189-2,Groom Guard PRO,5. Most Aware,Bundle Offer,"Stop met marketingclaims geloven. Kijk naar hoe het product daadwerkelijk ontworpen is. De oplossing zit niet in de verpakking, maar in de technologie achter de keramische mesjes.",Een trimmer vinden die eindelijk doet wat alle andere beloofden maar niet waarmaakten.,🎬 Studio / Polished Brand Video,🎬 Video,Ik heb honderden euro’s uitgegeven aan een poging om een trimmer te vinden waarmee ik mezelf niet snij.,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1kZuA9nsFik5VMwai-3Ptpesr_gCu1BkR?usp=drive_link
539,189-3,Groom Guard PRO,5. Most Aware,Bundle Offer,"Stop met marketingclaims geloven. Kijk naar hoe het product daadwerkelijk ontworpen is. De oplossing zit niet in de verpakking, maar in de technologie achter de keramische mesjes.",Een trimmer vinden die eindelijk doet wat alle andere beloofden maar niet waarmaakten.,🎬 Studio / Polished Brand Video,🎬 Video,"Ik geloofde wat er op de verpakking stond, maar kreeg uiteindelijk toch rode bultjes en irritatie…",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/1kZuA9nsFik5VMwai-3Ptpesr_gCu1BkR?usp=drive_link
540,190-1,Blade Baron,2. Problem Aware,Problem-Solution,"""Het cadeau dat hij daadwerkelijk gaat gebruiken""","""Ik heb eindelijk iets gevonden dat hij echt leuk vindt.""",🖼️ Static ad,🖼️ Static ad,Wat geef je pap voor de wedstrijd?,Meta,NL & BE,Jason,,,,,,,,,,,,,0.0,2.15,3.07,,To Test,,,https://drive.google.com/drive/folders/1f-HoNlbZ1GUQxlx5RpHDGe50n1eD8bHL?usp=drive_link
541,190-2,Blade Baron,2. Problem Aware,Problem-Solution,"""Het cadeau dat hij daadwerkelijk gaat gebruiken""","""Ik heb eindelijk iets gevonden dat hij echt leuk vindt.""",🖼️ Static ad,🖼️ Static ad,In 3 minuten klaar voor de aftrap,Meta,NL & BE,Jason,,,,,,,,,,,,,0.0,2.15,3.07,,To Test,,,https://drive.google.com/drive/folders/1f-HoNlbZ1GUQxlx5RpHDGe50n1eD8bHL?usp=drive_link
542,190-3,Blade Baron,2. Problem Aware,Problem-Solution,"""Het cadeau dat hij daadwerkelijk gaat gebruiken""","""Ik heb eindelijk iets gevonden dat hij echt leuk vindt.""",🖼️ Static ad,🖼️ Static ad,Eindelijk een Vaderdag-cadeau dat hij gebruikt,Meta,NL & BE,Jason,,,,,,,,,,,,,0.0,2.15,3.07,,To Test,,,https://drive.google.com/drive/folders/1f-HoNlbZ1GUQxlx5RpHDGe50n1eD8bHL?usp=drive_link
543,191-1,Flex Guard,5. Most Aware,Bundle Offer,"""Stop met de verkeerde tool gebruiken voor gevoelige zones.""","""Ik wil me verzorgen zonder pijn, wondjes of stress.""",🖼️ Static ad,🖼️ Static ad,Trim je daar nog met je baardtrimmer?,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1C_DVpct6eg7ASG5296USVdWHiaGapGyS?usp=drive_link
544,191-2,Flex Guard,5. Most Aware,Bundle Offer,"""Stop met de verkeerde tool gebruiken voor gevoelige zones.""","""Ik wil me verzorgen zonder pijn, wondjes of stress.""",🖼️ Static ad,🖼️ Static ad,Glad zonder sneetjes ook op de gevoelige zones,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1C_DVpct6eg7ASG5296USVdWHiaGapGyS?usp=drive_link
545,191-3,Flex Guard,5. Most Aware,Bundle Offer,"""Stop met de verkeerde tool gebruiken voor gevoelige zones.""","""Ik wil me verzorgen zonder pijn, wondjes of stress.""",🖼️ Static ad,🖼️ Static ad,Ja vader zijn partner merkt het verschil meteen,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1C_DVpct6eg7ASG5296USVdWHiaGapGyS?usp=drive_link
546,192-1,Flex Guard,5. Most Aware,Bundle Offer,"""Een cadeau dat hij daadwerkelijk blijft gebruiken""","""Ik wil niet weer iets geven dat ongebruikt blijft liggen.""",🖼️ Static ad,🖼️ Static ad,Het vaderdag cadeau dat hij blijft pakken,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1fddqL_LYWcBB2hpM3mnnHXZsJt2kj5Nr?usp=drive_link
547,192-2,Flex Guard,5. Most Aware,Bundle Offer,"""Een cadeau dat hij daadwerkelijk blijft gebruiken""","""Ik wil niet weer iets geven dat ongebruikt blijft liggen.""",🖼️ Static ad,🖼️ Static ad,Van ruige papa naar verzorgde vader,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1fddqL_LYWcBB2hpM3mnnHXZsJt2kj5Nr?usp=drive_link
548,192-3,Flex Guard,5. Most Aware,Bundle Offer,"""Een cadeau dat hij daadwerkelijk blijft gebruiken""","""Ik wil niet weer iets geven dat ongebruikt blijft liggen.""",🖼️ Static ad,🖼️ Static ad,Eindelijk het juiste cadeau voor hem,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1fddqL_LYWcBB2hpM3mnnHXZsJt2kj5Nr?usp=drive_link
549,192-4,Flex Guard,5. Most Aware,Bundle Offer,"""Een cadeau dat hij daadwerkelijk blijft gebruiken""","""Ik wil niet weer iets geven dat ongebruikt blijft liggen.""",🖼️ Static ad,🖼️ Static ad,Dit cadeau belandt niet in de kast,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.86,2.66,,To Test,,,https://drive.google.com/drive/folders/1fddqL_LYWcBB2hpM3mnnHXZsJt2kj5Nr?usp=drive_link
550,193-1,Groom Guard PRO,5. Most Aware,Bundle Offer,"""Help hem weer de beste versie van zichzelf te worden.""",Ik wil dat mijn vader er verzorgd en zelfverzekerd uitziet.,🖼️ Static ad,🖼️ Static ad,Van ruige beer naar verzorgde pa,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/18bUkrnA65w-eUaVTXTLdxhfMY64rsQuf?usp=drive_link
551,193-2,Groom Guard PRO,5. Most Aware,Bundle Offer,"""Help hem weer de beste versie van zichzelf te worden.""",Ik wil dat mijn vader er verzorgd en zelfverzekerd uitziet.,🖼️ Static ad,🖼️ Static ad,Van ruige beer naar verzorgde pa,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/18bUkrnA65w-eUaVTXTLdxhfMY64rsQuf?usp=drive_link
552,193-3,Groom Guard PRO,5. Most Aware,Bundle Offer,"""Help hem weer de beste versie van zichzelf te worden.""",Ik wil dat mijn vader er verzorgd en zelfverzekerd uitziet.,🖼️ Static ad,🖼️ Static ad,Een cadeau dat niet in de kast belandt,Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/18bUkrnA65w-eUaVTXTLdxhfMY64rsQuf?usp=drive_link
553,193-4,Groom Guard PRO,5. Most Aware,Bundle Offer,"""Help hem weer de beste versie van zichzelf te worden.""",Ik wil dat mijn vader er verzorgd en zelfverzekerd uitziet.,🖼️ Static ad,🖼️ Static ad,"Geen kritiek, een cadeau voor jullie samen",Meta,NL & BE,Alex,,,,,,,,,,,,,0.0,1.78,2.55,,To Test,,,https://drive.google.com/drive/folders/18bUkrnA65w-eUaVTXTLdxhfMY64rsQuf?usp=drive_link
554,194-1,5in1 Men Shaper Gold,3. Solution Aware,Benefits-Driven,"""Waarom meerdere apparaten kopen als één alles kan?""",Ik wil één apparaat dat al mijn grooming behoeften oplost.,🖼️ Static ad,🖼️ Static ad,"5 functies, 1 toestel Men Shaper Gold",Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,0.0,2.28,3.26,,To Test,,,https://drive.google.com/drive/folders/104Wyx1eqB8TvEK1-hiF-zInI7KW-0JYp?usp=drive_link
555,194-2,5in1 Men Shaper Gold,3. Solution Aware,Benefits-Driven,"""Waarom meerdere apparaten kopen als één alles kan?""",Ik wil één apparaat dat al mijn grooming behoeften oplost.,🖼️ Static ad,🖼️ Static ad,Waarom vijf apparaten als èèn volstaat,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,0.0,2.28,3.26,,To Test,,,https://drive.google.com/drive/folders/104Wyx1eqB8TvEK1-hiF-zInI7KW-0JYp?usp=drive_link
556,194-3,5in1 Men Shaper Gold,3. Solution Aware,Benefits-Driven,"""Waarom meerdere apparaten kopen als één alles kan?""",Ik wil één apparaat dat al mijn grooming behoeften oplost.,🖼️ Static ad,🖼️ Static ad,"Stop met stapelen, èèn trimmer. Hele lichaam. Klaar",Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,0.0,2.28,3.26,,To Test,,,https://drive.google.com/drive/folders/104Wyx1eqB8TvEK1-hiF-zInI7KW-0JYp?usp=drive_link
557,195-1,Essential Bundel,2. Problem Aware,Problem-Solution,Het perfecte vaderdagcadeau dat écht gebruikt wordt.,"Een cadeau geven dat waardevol, praktisch en betekenisvol is, zodat je vader er langdurig plezier van heeft.",🖼️ Static ad,🖼️ Static ad,De complete set voor vaderdag,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,,,,,,,,
558,195-2,Essential Bundel,2. Problem Aware,Problem-Solution,Het perfecte vaderdagcadeau dat écht gebruikt wordt.,"Een cadeau geven dat waardevol, praktisch en betekenisvol is, zodat je vader er langdurig plezier van heeft.",🖼️ Static ad,🖼️ Static ad,Een cadeau dat niet in de kast belandt,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,,,,,,,,
559,195-3,Essential Bundel,2. Problem Aware,Problem-Solution,Het perfecte vaderdagcadeau dat écht gebruikt wordt.,"Een cadeau geven dat waardevol, praktisch en betekenisvol is, zodat je vader er langdurig plezier van heeft.",🖼️ Static ad,🖼️ Static ad,Het beste cadeau voor jouw vader,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,,,,,To Test,,Geen performance data. Meta: Not yet | TikTok: Not yet | Organic: Not yet,
560,196-1,Groom Guard,2. Problem Aware,Problem-Solution,"Meer comfort, zelfvertrouwen en aantrekkingskracht dankzij een goed verzorgde schaamstreek.","Je wilt je lichaamshaar moeiteloos onderhouden zodat je je comfortabeler, zelfverzekerder en aantrekkelijker voelt in intieme situaties.",🖼️ Static ad,🖼️ Static ad,Mn vriendin merkt nu het verschil,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,,,,,To Test,,Geen performance data. Meta: Not yet | TikTok: Not yet | Organic: Not yet,
561,196-2,Groom Guard,2. Problem Aware,Problem-Solution,"Meer comfort, zelfvertrouwen en aantrekkingskracht dankzij een goed verzorgde schaamstreek.","Je wilt je lichaamshaar moeiteloos onderhouden zodat je je comfortabeler, zelfverzekerder en aantrekkelijker voelt in intieme situaties.",🖼️ Static ad,🖼️ Static ad,Geen prikkelende haartjes meer in mn broek,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,,,,,To Test,,Geen performance data. Meta: Not yet | TikTok: Not yet | Organic: Not yet,
562,196-3,Groom Guard,2. Problem Aware,Problem-Solution,"Meer comfort, zelfvertrouwen en aantrekkingskracht dankzij een goed verzorgde schaamstreek.","Je wilt je lichaamshaar moeiteloos onderhouden zodat je je comfortabeler, zelfverzekerder en aantrekkelijker voelt in intieme situaties.",🖼️ Static ad,🖼️ Static ad,Eindelijk durf ik mijn boomstam te snoeien,Meta,NL & BE,Geen specifieke customer Persona,,,,,,,,,,,,,,,,,To Test,,Geen performance data. Meta: Not yet | TikTok: Not yet | Organic: Not yet,
